The Citadel,259,Virginia Tech,2643
0:40,259,P.J. Horne made Two Point Tip Shot.,93,130
0:34,2643,Quayson Williams missed Jumper.,93,130
0:34,259,Wabissa Bede Block.,93,130
0:32,259,P.J. Horne Defensive Rebound.,93,130
0:29,259,Ahmed Hill made Dunk. Assisted by Devin Wilson.,93,132
0:20,2643,Alex Reed missed Jumper.,93,132
0:20,2643,Alex Reed Offensive Rebound.,93,132
0:16,2643,Alex Reed missed Layup.,93,132
0:16,259,P.J. Horne Defensive Rebound.,93,132
0:00,259,End of Game,93,132
